ZIP_CODE,TYPE,DATE,REPORTING_AREA,STATE_CODE,LATITUDE,LONGITUDE,PARAMETER_NAME,AQI,CATEGORY_NUMBER,CATEGORY_NAME,ACTION_DAY,DISCUSSION
32003,FORECAST,2024-09-05,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-05,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-05,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,FORECAST,2024-09-06,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-06,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-06,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,FORECAST,2024-09-07,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-07,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-07,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,FORECAST,2024-09-08,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-08,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-08,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,FORECAST,2024-09-09,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-09,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-09,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,FORECAST,2024-09-10,Jacksonville,FL,30.335,-81.658,O3,-1,1,Good,False,
32003,FORECAST,2024-09-10,Jacksonville,FL,30.335,-81.658,PM2.5,-1,1,Good,False,
32003,FORECAST,2024-09-10,Jacksonville,FL,30.335,-81.658,PM10,-1,1,Good,False,
32003,CURRENT_OBSERVATION,2024-09-05,Jacksonville,FL,30.335,-81.658,O3,21,1,Good,N/A,N/A
32003,CURRENT_OBSERVATION,2024-09-05,Jacksonville,FL,30.335,-81.658,PM2.5,24,1,Good,N/A,N/A
32003,CURRENT_OBSERVATION,2024-09-05,Jacksonville,FL,30.335,-81.658,PM10,7,1,Good,N/A,N/A
32003,HISTORICAL_OBSERVATION,2024-09-01,Jacksonville,FL,30.335,-81.658,OZONE,28,1,Good,N/A,N/A
32003,HISTORICAL_OBSERVATION,2024-09-01,Jacksonville,FL,30.335,-81.658,PM2.5,26,1,Good,N/A,N/A
32003,HISTORICAL_OBSERVATION,2024-09-01,Jacksonville,FL,30.335,-81.658,PM10,8,1,Good,N/A,N/A
32008,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,O3,25,1,Good,N/A,N/A
32008,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,20,1,Good,N/A,N/A
32008,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,OZONE,23,1,Good,N/A,N/A
32008,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,34,1,Good,N/A,N/A
32009,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,O3,24,1,Good,N/A,N/A
32009,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,PM2.5,29,1,Good,N/A,N/A
32009,HISTORICAL_OBSERVATION,2024-09-01,Nassau County,FL,30.5927,-81.822,OZONE,21,1,Good,N/A,N/A
32009,HISTORICAL_OBSERVATION,2024-09-01,Nassau County,FL,30.5927,-81.822,PM2.5,30,1,Good,N/A,N/A
32011,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,O3,24,1,Good,N/A,N/A
32011,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,PM2.5,29,1,Good,N/A,N/A
32011,HISTORICAL_OBSERVATION,2024-09-01,Nassau County,FL,30.5927,-81.822,OZONE,21,1,Good,N/A,N/A
32011,HISTORICAL_OBSERVATION,2024-09-01,Nassau County,FL,30.5927,-81.822,PM2.5,30,1,Good,N/A,N/A
32024,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,O3,25,1,Good,N/A,N/A
32024,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,20,1,Good,N/A,N/A
32024,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,OZONE,23,1,Good,N/A,N/A
32024,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,34,1,Good,N/A,N/A
32025,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,O3,25,1,Good,N/A,N/A
32025,CURRENT_OBSERVATION,2024-09-05,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,20,1,Good,N/A,N/A
32025,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,OZONE,23,1,Good,N/A,N/A
32025,HISTORICAL_OBSERVATION,2024-09-01,Columbia and Suwannee Counties,FL,30.174,-82.793,PM2.5,34,1,Good,N/A,N/A
32034,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,O3,24,1,Good,N/A,N/A
32034,CURRENT_OBSERVATION,2024-09-05,Nassau County,FL,30.5927,-81.822,PM2.5,29,1,Good,N/A,N/A
